image_id,camera_setup_id,session_id,landmark_id,x_px,y_px,relative_height_ft,pole_depth_ft,band_definition,annotation_status
25-W571.UFMu-03509.2025-06-10-13-37.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-10 13:37:00,band_01,263.85185185185185,834.0,0.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-10-13-37.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-10 13:37:00,band_02,266.5777777777778,793.6222222222223,1.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-10-13-37.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-10 13:37:00,band_03,267.4578313253012,753.7469879518072,2.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-10-13-37.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-10 13:37:00,band_04,269.3448275862069,714.1724137931035,3.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-10-13-37.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-10 13:37:00,band_05,270.3066666666667,673.4,4.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-10-13-37.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-10 13:37:00,band_06,271.94545454545454,633.2181818181818,5.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-10-13-37.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-10 13:37:00,band_07,274.06410256410254,593.1410256410256,6.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-10-13-37.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-10 13:37:00,band_08,276.0,552.5,7.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-10-13-37.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-10 13:37:00,band_09,277.94736842105266,512.3157894736842,8.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-10-13-37.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-10 13:37:00,band_10,280.35185185185185,472.1666666666667,9.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-10-13-37.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-10 13:37:00,band_11,282.5,432.12,10.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-10-13-37.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-10 13:37:00,band_12,285.09302325581393,392.4651162790698,11.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-10-13-37.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-10 13:37:00,band_13,287.0,352.625,12.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-10-13-37.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-10 13:37:00,band_14,289.4186046511628,313.5348837209302,13.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-10-13-37.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-10 13:37:00,band_15,291.58620689655174,275.0689655172414,14.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-17-11-49.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-17 11:49:00,band_01,260.77777777777777,814.5555555555555,0.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-17-11-49.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-17 11:49:00,band_02,268.85714285714283,767.2857142857143,1.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-17-11-49.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-17 11:49:00,band_03,273.74038461538464,729.6634615384615,2.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-17-11-49.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-17 11:49:00,band_04,272.8981481481481,690.7314814814815,3.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-17-11-49.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-17 11:49:00,band_05,275.80434782608694,652.7065217391304,4.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-17-11-49.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-17 11:49:00,band_06,276.7826086956522,614.1130434782609,5.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-17-11-49.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-17 11:49:00,band_07,279.1756756756757,574.8243243243244,6.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-17-11-49.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-17 11:49:00,band_08,281.2988505747126,534.8965517241379,7.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-17-11-49.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-17 11:49:00,band_09,283.1375,494.425,8.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-17-11-49.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-17 11:49:00,band_10,286.56756756756755,453.8108108108109,9.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-17-11-49.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-17 11:49:00,band_11,288.9154929577465,412.5492957746479,10.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-17-11-49.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-17 11:49:00,band_12,292.5633802816901,370.2676056338028,11.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-17-11-49.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-17 11:49:00,band_13,295.6901408450704,327.5211267605634,12.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-17-11-49.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-17 11:49:00,band_14,299.69117647058823,283.80882352941177,13.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-17-11-49.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-17 11:49:00,band_15,303.62666666666667,239.56,14.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-17-11-49.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-17 11:49:00,band_16,308.0,194.80281690140845,15.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-24-11-48.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-24 11:48:00,band_01,285.40697674418607,484.5,0.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-24-11-48.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-24 11:48:00,band_02,287.72727272727275,444.1168831168831,1.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-24-11-48.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-24 11:48:00,band_03,290.23376623376623,403.4025974025974,2.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-24-11-48.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-24 11:48:00,band_04,292.84,362.14666666666665,3.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-24-11-48.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-24 11:48:00,band_05,295.3896103896104,320.961038961039,4.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-24-11-48.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-24 11:48:00,band_06,298.1578947368421,279.1842105263158,5.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-24-11-48.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-24 11:48:00,band_07,300.43023255813955,237.72093023255812,6.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-06-24-11-48.QPSRM.000033006983,25-W571.UFMu-03509,2025-06-24 11:48:00,band_08,303.3918918918919,196.36486486486487,7.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-07-01-11-42.QPSRM.000033006983,25-W571.UFMu-03509,2025-07-01 11:42:00,band_01,278.54285714285714,674.2285714285714,0.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-07-01-11-42.QPSRM.000033006983,25-W571.UFMu-03509,2025-07-01 11:42:00,band_02,277.0,636.2884615384615,1.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-07-01-11-42.QPSRM.000033006983,25-W571.UFMu-03509,2025-07-01 11:42:00,band_03,279.3157894736842,597.1578947368421,2.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-07-01-11-42.QPSRM.000033006983,25-W571.UFMu-03509,2025-07-01 11:42:00,band_04,282.70212765957444,557.5957446808511,3.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-07-01-11-42.QPSRM.000033006983,25-W571.UFMu-03509,2025-07-01 11:42:00,band_05,284.69642857142856,517.9107142857143,4.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-07-01-11-42.QPSRM.000033006983,25-W571.UFMu-03509,2025-07-01 11:42:00,band_06,286.8888888888889,477.3888888888889,5.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-07-01-11-42.QPSRM.000033006983,25-W571.UFMu-03509,2025-07-01 11:42:00,band_07,290.0731707317073,436.5609756097561,6.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-07-01-11-42.QPSRM.000033006983,25-W571.UFMu-03509,2025-07-01 11:42:00,band_08,293.22857142857146,395.4857142857143,7.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-07-01-11-42.QPSRM.000033006983,25-W571.UFMu-03509,2025-07-01 11:42:00,band_09,296.3,353.6666666666667,8.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-07-01-11-42.QPSRM.000033006983,25-W571.UFMu-03509,2025-07-01 11:42:00,band_10,299.2962962962963,311.77777777777777,9.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-07-01-11-42.QPSRM.000033006983,25-W571.UFMu-03509,2025-07-01 11:42:00,band_11,302.12,269.4,10.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-07-01-11-42.QPSRM.000033006983,25-W571.UFMu-03509,2025-07-01 11:42:00,band_12,305.6428571428572,227.17857142857144,11.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-07-01-11-42.QPSRM.000033006983,25-W571.UFMu-03509,2025-07-01 11:42:00,band_13,309.10714285714283,185.07142857142856,12.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-07-08-11-43.QPSRM.000033006983,25-W571.UFMu-03509,2025-07-08 11:43:00,band_01,266.8941176470588,715.5058823529412,0.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-07-08-11-43.QPSRM.000033006983,25-W571.UFMu-03509,2025-07-08 11:43:00,band_02,270.3768115942029,675.8985507246376,1.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-07-08-11-43.QPSRM.000033006983,25-W571.UFMu-03509,2025-07-08 11:43:00,band_03,274.0886075949367,637.9493670886076,2.0,,center,automated_candidate_unverified
25-W571.UFMu-03509.2025-07-08-11-43.QPSRM.000033006983,25-W571.UFMu-03509,2025-07-08 11:43:00,band_04,278.95454545454544,598.7159090909091,3.0,,center,automated_candidate_unverified
