row_id,source_xml,image_name,pole_label,annotation_status,top_x_px,top_y_px,ground_x_px,ground_y_px,polyline_length_px,physical_length_ft,physical_length_cm,physical_definition,label_definition
C-004,C-004.xml,C-004_2021-07-02.JPG,pole1,usable,413.5,448.6,413.2,773.6,325.000138461509,5.0,152.4,nominal vertical extent from pole ground contact to camera mounting/optical-center height,distinct visible 2021 camera-support pole; numeric label does not by itself encode depth
C-004,C-004.xml,C-004_2021-07-02.JPG,pole2,usable,47.7,448.54,47.7,608.8,160.25999999999993,5.0,152.4,nominal vertical extent from pole ground contact to camera mounting/optical-center height,distinct visible 2021 camera-support pole; numeric label does not by itself encode depth
C-004,C-004.xml,C-004_2021-07-02.JPG,pole3,usable,164.9,456.3,164.9,564.0,107.69999999999999,5.0,152.4,nominal vertical extent from pole ground contact to camera mounting/optical-center height,distinct visible 2021 camera-support pole; numeric label does not by itself encode depth
C-004,C-004.xml,C-004_2021-07-11.JPG,pole1,usable,408.7,438.1,408.1,770.3,332.20054184182175,5.0,152.4,nominal vertical extent from pole ground contact to camera mounting/optical-center height,distinct visible 2021 camera-support pole; numeric label does not by itself encode depth
C-004,C-004.xml,C-004_2021-07-11.JPG,pole2,usable,41.41,436.71,43.4,595.0,158.3025085082356,5.0,152.4,nominal vertical extent from pole ground contact to camera mounting/optical-center height,distinct visible 2021 camera-support pole; numeric label does not by itself encode depth
C-004,C-004.xml,C-004_2021-07-11.JPG,pole3,unusable,159.8,444.5,159.6,546.7,102.20019569452893,5.0,152.4,nominal vertical extent from pole ground contact to camera mounting/optical-center height,distinct visible 2021 camera-support pole; numeric label does not by itself encode depth
C-004,C-004.xml,C-004_2021-07-18.JPG,pole1,usable,413.8,434.5,411.7,755.5,321.0068690853827,5.0,152.4,nominal vertical extent from pole ground contact to camera mounting/optical-center height,distinct visible 2021 camera-support pole; numeric label does not by itself encode depth
C-004,C-004.xml,C-004_2021-07-18.JPG,pole2,usable,46.2,434.5,48.5,586.9,152.41735465490797,5.0,152.4,nominal vertical extent from pole ground contact to camera mounting/optical-center height,distinct visible 2021 camera-support pole; numeric label does not by itself encode depth
C-004,C-004.xml,C-004_2021-07-18.JPG,pole3,unusable,163.5,442.4,164.8,539.6,97.20869302690994,5.0,152.4,nominal vertical extent from pole ground contact to camera mounting/optical-center height,distinct visible 2021 camera-support pole; numeric label does not by itself encode depth
C-004,C-004.xml,C-004_2021-07-30.JPG,pole1,usable,414.3,427.6,412.9,749.7,322.1030425190051,5.0,152.4,nominal vertical extent from pole ground contact to camera mounting/optical-center height,distinct visible 2021 camera-support pole; numeric label does not by itself encode depth
C-004,C-004.xml,C-004_2021-07-30.JPG,pole2,usable,47.6,425.3,50.2,584.7,159.42120310673863,5.0,152.4,nominal vertical extent from pole ground contact to camera mounting/optical-center height,distinct visible 2021 camera-support pole; numeric label does not by itself encode depth
C-004,C-004.xml,C-004_2021-07-30.JPG,pole3,unusable,164.63,433.76,166.0,540.1,106.34882462914203,5.0,152.4,nominal vertical extent from pole ground contact to camera mounting/optical-center height,distinct visible 2021 camera-support pole; numeric label does not by itself encode depth
C-004,C-004.xml,C-004_2021-08-06.JPG,pole1,usable,412.5,425.1,409.0,749.1,324.01890376951775,5.0,152.4,nominal vertical extent from pole ground contact to camera mounting/optical-center height,distinct visible 2021 camera-support pole; numeric label does not by itself encode depth
C-004,C-004.xml,C-004_2021-08-06.JPG,pole2,usable,44.7,423.5,46.7,583.0,159.51253869210407,5.0,152.4,nominal vertical extent from pole ground contact to camera mounting/optical-center height,distinct visible 2021 camera-support pole; numeric label does not by itself encode depth
C-004,C-004.xml,C-004_2021-08-06.JPG,pole3,unusable,161.66,431.2,162.6,527.8,96.6045733907044,5.0,152.4,nominal vertical extent from pole ground contact to camera mounting/optical-center height,distinct visible 2021 camera-support pole; numeric label does not by itself encode depth
C-004,C-004.xml,LH85.21-C-004_2021-07-12-10-21_CAM789.JPG,pole1,usable,414.4,440.7,412.8,759.3,318.6040175515682,5.0,152.4,nominal vertical extent from pole ground contact to camera mounting/optical-center height,distinct visible 2021 camera-support pole; numeric label does not by itself encode depth
C-004,C-004.xml,LH85.21-C-004_2021-07-12-10-21_CAM789.JPG,pole2,usable,48.7,438.6,49.6,598.1,159.50253916474182,5.0,152.4,nominal vertical extent from pole ground contact to camera mounting/optical-center height,distinct visible 2021 camera-support pole; numeric label does not by itself encode depth
C-004,C-004.xml,LH85.21-C-004_2021-07-12-10-21_CAM789.JPG,pole3,usable,165.3,446.1,166.2,552.9,106.80379206751037,5.0,152.4,nominal vertical extent from pole ground contact to camera mounting/optical-center height,distinct visible 2021 camera-support pole; numeric label does not by itself encode depth
C-005,C-005.xml,C-005_2021-07-11.JPG,pole1,usable,438.1,440.1,429.5,747.1,307.1204324039675,5.0,152.4,nominal vertical extent from pole ground contact to camera mounting/optical-center height,distinct visible 2021 camera-support pole; numeric label does not by itself encode depth
C-005,C-005.xml,C-005_2021-07-11.JPG,pole2,usable,107.2,429.0,108.0,583.4,154.40207252495023,5.0,152.4,nominal vertical extent from pole ground contact to camera mounting/optical-center height,distinct visible 2021 camera-support pole; numeric label does not by itself encode depth
