camera,day,image,image_role,candidate_index,x_top,y_top,x_root,y_root,x_root_fraction,height_px,confidence,box_x1,box_y1,box_x2,box_y2,image_width,image_height
C_009,07_12,11430.21-C-009_2021-07-12-10-32_CAM374.JPG,installation_reference,0,207.64297485351562,733.4615478515625,222.15382385253906,889.16455078125,0.2873917520046234,155.7030029296875,0.8920895457267761,175.78834533691406,723.490966796875,244.0988006591797,906.6287231445312,773,1030
C_009,07_12,11430.21-C-009_2021-07-12-10-32_CAM374.JPG,installation_reference,1,281.3994140625,742.5230102539062,295.2042236328125,885.4120483398438,0.38189420104026794,142.8890380859375,0.8284220099449158,243.57777404785156,732.6221923828125,327.913818359375,896.7597045898438,773,1030
C_009,07_12,11430.21-C-009_2021-07-12-10-32_CAM374.JPG,installation_reference,2,369.8910827636719,721.895263671875,381.9119567871094,872.1243896484375,0.4940646290779114,150.2291259765625,0.7854015231132507,336.91741943359375,708.6209716796875,406.70703125,882.846923828125,773,1030
C_009,07_12,11430.21-C-009_2021-07-12-10-32_CAM374.JPG,installation_reference,3,93.80956268310547,716.0596923828125,118.31978607177734,886.0877075195312,0.15306569635868073,170.02801513671875,0.7679882049560547,24.893205642700195,707.130859375,173.74668884277344,908.2898559570312,773,1030
C_009,07_12,11430.21-C-009_2021-07-12-10-32_CAM374.JPG,installation_reference,4,431.0894470214844,701.3558959960938,441.115234375,856.561279296875,0.5706536173820496,155.20538330078125,0.6539397239685059,404.2392883300781,698.2234497070312,477.0405578613281,874.00732421875,773,1030
C_009,07_12,11430.21-C-009_2021-07-12-10-32_CAM374.JPG,installation_reference,5,129.0204315185547,728.6156616210938,125.30320739746094,899.3678588867188,0.16209988296031952,170.752197265625,0.14120379090309143,90.12067413330078,721.5240478515625,156.0796661376953,909.3180541992188,773,1030
C_038,07_12,A641.21-C-038_2021-07-12-10-24_CAM176.JPG,installation_reference,0,566.5890502929688,694.9389038085938,587.734619140625,790.6255493164062,0.7603293657302856,95.6866455078125,0.8983339071273804,546.751220703125,692.4166259765625,602.9982299804688,789.7557983398438,773,1030
C_038,07_12,A641.21-C-038_2021-07-12-10-24_CAM176.JPG,installation_reference,1,242.94078063964844,580.2322387695312,251.77297973632812,763.6442260742188,0.32570889592170715,183.4119873046875,0.499671071767807,219.17623901367188,577.0969848632812,275.89398193359375,772.7382202148438,773,1030
C_038,07_12,A641.21-C-038_2021-07-12-10-24_CAM176.JPG,installation_reference,2,177.4051971435547,694.645263671875,190.2122039794922,764.3653564453125,0.24607011675834656,69.7200927734375,0.40194156765937805,164.7998046875,702.4345703125,198.14414978027344,769.1402587890625,773,1030
C_011,07_12,B73.21-C-011_2021-07-12-11-09_CAM397.JPG,installation_reference,0,621.1814575195312,559.2318115234375,639.2288818359375,761.7953491210938,0.8269454836845398,202.56353759765625,0.8539312481880188,579.9312744140625,552.3519897460938,689.4242553710938,781.6138305664062,773,1030
C_011,07_12,B73.21-C-011_2021-07-12-11-09_CAM397.JPG,installation_reference,1,537.4824829101562,560.7206420898438,546.9568481445312,761.9483032226562,0.7075767517089844,201.2276611328125,0.8227078914642334,483.9324645996094,553.1407470703125,588.8794555664062,779.1458129882812,773,1030
