camera_id,plant_number,plant_id,plant_uid,capture_datetime,date,days_after_first_image,filename,status,measurement_used,image_measurement_cm,measurement_sd_cm,measurement_qc,bayesian_height_cm,height_95_low_cm,height_80_low_cm,height_median_cm,height_80_high_cm,height_95_high_cm,posterior_sd_cm,growth_cm_day,growth_sd_cm_day,predictive_mean_before_image_cm,predictive_sd_before_image_cm,outlier_posterior_probability,effective_sample_size,detection_confidence,candidate_index,x_top_px,y_top_px,x_root_px,raw_y_root_px,prior_updated_y_root_px,calibration_reference_image,vertical_extrapolation_band_units
C-024,1,P1,C-024_P1,2021-07-02 12:00:00,2021-07-02,0.0,C-024_2021-07-02.JPG,measured,True,43.83754212817382,14.373261358201956,pass,43.82312512070537,15.49046679593022,25.464078641165557,43.81681343340745,62.46357713093202,72.22012953434685,14.414233215191311,1.4913740642675948,5.661915296682434,,,,5000.0,0.6970306038856506,2,410.77337646484375,749.5025634765625,422.3390808105469,854.91015625,854.91015625,fixed_scale,0.0
C-024,1,P1,C-024_P1,2021-07-11 12:00:00,2021-07-11,9.0,C-024_2021-07-11.JPG,measured,True,77.59501433258056,15.010926730309079,pass,74.40133677628013,37.67365015221974,54.00601060130467,74.96409398564519,95.02273362172727,106.71501368965562,18.21759066777265,2.64331746917511,3.6969382420853227,60.56824379584051,54.33891650652064,0.059300613321127904,1465.607942928648,0.639068603515625,3,404.2150573730469,671.2347412109375,416.845458984375,860.7145385742188,857.8123474121094,fixed_scale,0.0
C-024,1,P1,C-024_P1,2021-07-18 12:00:00,2021-07-18,16.0,C-024_2021-07-18.JPG,measured,True,98.42158331924438,14.730702713257976,pass,98.07199508977226,68.65598848911007,79.77632619924701,98.2283570998664,116.31091134348367,127.04522618650995,15.242503669310942,3.1336256303397216,2.647265170613268,92.9717086609677,43.598901072914835,0.04086169449471784,2321.2771680120545,0.66361403465271,3,402.4241027832031,617.558349609375,406.8151550292969,850.61474609375,854.2135467529297,fixed_scale,0.0
C-024,1,P1,C-024_P1,2021-07-30 12:00:00,2021-07-30,28.0,C-024_2021-07-30.JPG,measured,True,105.68877805006409,14.766906370343865,pass,109.10612326929353,79.77615687080277,90.40261493033586,108.34100892273491,127.81356610031798,141.94488178221016,16.535433205495742,2.198048448487009,2.313354823640307,136.32985548980753,50.07634044802166,0.05013455122213022,1691.0778984511232,0.6603640913963318,3,404.392578125,584.7219848632812,410.7479553222656,823.4888305664062,838.851188659668,fixed_scale,0.0
C-024,2,P2,C-024_P2,2021-07-02 12:00:00,2021-07-02,0.0,C-024_2021-07-02.JPG,measured,True,48.572636752563476,12.662234782589485,pass,48.39478313725145,23.036272654085174,32.15700966610242,48.18963211525101,64.75650168945245,73.50488269452914,12.74774812195376,1.4696999485379603,5.7098153528666336,,,,5000.0,0.8981353044509888,0,491.3149719238281,755.765380859375,498.0015869140625,872.5585327148438,872.5585327148438,fixed_scale,0.0
C-024,2,P2,C-024_P2,2021-07-11 12:00:00,2021-07-11,9.0,C-024_2021-07-11.JPG,measured,True,61.44141979125976,13.528743186914685,pass,59.50590463554303,28.205605974533402,40.84495397300334,59.236140642444724,78.25928375567547,89.02054897861699,16.34874293556125,0.585184360964553,3.5093389486504893,63.83531309801464,55.38151414842128,0.05428751815142905,1532.125969818929,0.7867696285247803,1,478.264892578125,710.3397827148438,490.3703918457031,843.5934448242188,858.0759887695312,fixed_scale,0.0
C-024,2,P2,C-024_P2,2021-07-18 12:00:00,2021-07-18,16.0,C-024_2021-07-18.JPG,measured,True,91.27580818652343,14.702682507375817,pass,87.49841847821776,55.45515291234902,68.77516607080061,88.24591992104605,106.50467627222162,116.38321334880703,15.913152091963644,2.153635397852806,2.807099199977262,64.47440603460991,39.97967935993171,0.04753720780906934,1930.0067668630081,0.6661458611488342,2,473.9674072265625,626.804931640625,484.3140869140625,834.4801635742188,846.278076171875,fixed_scale,0.0
C-024,2,P2,C-024_P2,2021-07-30 12:00:00,2021-07-30,28.0,C-024_2021-07-30.JPG,measured,True,106.1857172717285,12.579165327263519,pass,107.30312750978811,80.60274101348855,90.94852148501256,108.05554584199344,123.38245318551081,133.43803264643125,14.529951408444052,1.950809926615942,2.2200836076389994,113.8161500707119,51.3562434785617,0.04470042709775116,1747.7556141007303,0.910036563873291,0,474.4003601074219,585.6256103515625,472.1564025878906,835.621337890625,840.94970703125,fixed_scale,0.0
C-024,3,P3,C-024_P3,2021-07-02 12:00:00,2021-07-02,0.0,C-024_2021-07-02.JPG,measured,True,59.429586496459955,14.919532964162926,pass,59.37831011505405,30.024259450121143,40.192387801091854,59.443106147219694,78.34334937979621,88.60349393531526,14.970197477106192,1.495662719197708,5.713051785208391,,,,5000.0,0.6469221711158752,3,567.2581176757812,726.48876953125,584.0404052734375,869.3875122070312,869.3875122070312,fixed_scale,0.0
C-024,3,P3,C-024_P3,2021-07-11 12:00:00,2021-07-11,9.0,C-024_2021-07-11.JPG,measured,True,75.71515072247314,14.051872555846291,pass,74.16855322022309,41.07120153775941,55.1004306870754,73.91551374122064,93.4159086242908,103.80841131938026,16.826278090865625,0.8035527549533421,3.6368485875393732,74.4086559812611,57.59921171692576,0.05381641854776524,1539.9173009589317,0.729279637336731,2,559.3880615234375,681.7626953125,571.6163940429688,858.2528076171875,863.8201599121094,fixed_scale,0.0
C-024,3,P3,C-024_P3,2021-07-18 12:00:00,2021-07-18,16.0,C-024_2021-07-18.JPG,measured,True,99.30352613705443,13.751968000697572,pass,96.95784651624953,67.54123482285033,79.09197470547153,97.76347804164625,114.88409082044953,123.6180918024804,14.928613710098288,1.9326251939814516,2.8721772950891227,80.14880602891756,41.34816843363848,0.04395998929825268,2012.7143386249645,0.7614349126815796,1,550.7357788085938,611.842529296875,555.749267578125,837.4165649414062,850.6183624267578,fixed_scale,0.0
C-024,3,P3,C-024_P3,2021-07-30 12:00:00,2021-07-30,28.0,C-024_2021-07-30.JPG,measured,True,103.5174655214691,13.943100425271165,pass,105.48535175410241,76.9730854070631,87.42609392124334,105.83541897927262,123.69686133363922,135.40595384812676,15.691658609292057,1.3500815823322498,2.3167149250187955,120.08314101845397,50.93882229678113,0.047475705413768,1769.9048708744594,0.7407024502754211,1,544.9708862304688,596.5326538085938,551.1334228515625,840.2634887695312,845.4409255981445,fixed_scale,0.0
C-024,4,P4,C-024_P4,2021-07-02 12:00:00,2021-07-02,0.0,C-024_2021-07-02.JPG,measured,True,44.89563490307617,13.355362031554918,pass,44.77880927648881,18.047550366085044,27.855162243242418,44.66068330903335,62.12667771164687,71.20305376089888,13.39645514195136,1.4072965588448758,5.669950646939813,,,,5000.0,0.8073301315307617,1,661.947265625,780.4926147460938,667.5643920898438,888.4443969726562,888.4443969726562,fixed_scale,0.0
C-024,4,P4,C-024_P4,2021-07-11 12:00:00,2021-07-11,9.0,C-024_2021-07-11.JPG,measured,True,68.10989948760987,13.023300143776526,pass,65.63062995120198,32.64542018988832,47.29836063122378,65.70668165616026,84.04533372739141,95.61537175033264,16.891583710500235,1.4386696844467326,3.7063718765595994,61.31675219820867,55.23847585424287,0.0607870420463051,1313.4796978882084,0.8490248322486877,0,640.08740234375,708.697021484375,653.2243041992188,856.4908447265625,872.4676208496094,fixed_scale,0.0
C-024,4,P4,C-024_P4,2021-07-18 12:00:00,2021-07-18,16.0,C-024_2021-07-18.JPG,measured,True,108.60025609744262,13.669426003798367,pass,105.23965476707507,75.13174888530905,88.00844798152528,106.22434226016503,122.21649848512864,131.22657118365854,15.143199746802496,3.4504545888348552,2.7939084411761415,76.69218962257509,41.87074155449343,0.04706499020344104,1729.7792773652175,0.7706584334373474,0,635.5621948242188,598.5314331054688,641.2222290039062,846.85498046875,859.6613006591797,fixed_scale,0.0
C-024,4,P4,C-024_P4,2021-07-30 12:00:00,2021-07-30,28.0,C-024_2021-07-30.JPG,measured,True,105.59056864247131,14.067039673469818,pass,109.83859464499096,81.71913430663982,91.11517860709858,108.79156551705114,128.20038097053236,143.3721972531816,16.607239415258476,1.9250976498724808,2.287733720163231,147.1052498277851,51.10443101842478,0.05357865373756364,1429.734556375092,0.7277078628540039,2,621.6814575195312,593.984375,634.60791015625,836.0935668945312,847.8774337768555,fixed_scale,0.0
